ID,Prediction
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,1
12,1
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,1
23,0
24,0
25,1
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,0
39,1
40,0
41,0
42,1
43,0
44,1
45,1
46,1
47,1
48,1
49,1
50,0
51,1
52,1
53,1
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,1
62,0
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,0
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,1
104,0
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,0
125,0
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,0
134,0
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,0
147,1
148,1
149,1
150,1
151,1
152,0
153,0
154,1
155,0
156,0
157,1
158,1
159,1
160,0
161,0
162,1
163,1
164,1
165,1
166,0
167,0
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,1
212,0
213,1
214,1
215,1
216,0
217,1
218,1
219,1
220,0
221,1
222,1
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,0
232,1
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,1
247,1
248,0
249,1
250,0
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,0
259,0
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,1
283,1
284,1
285,1
286,0
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,1
295,1
296,1
297,0
298,1
299,0
300,1
301,0
302,1
303,1
304,1
305,1
306,0
307,1
308,1
309,1
310,0
311,1
312,1
313,1
314,1
315,1
316,1
317,0
318,0
319,0
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,0
340,0
341,0
342,0
343,1
344,1
345,0
346,0
347,1
348,0
349,0
350,0
351,1
352,1
353,0
354,0
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,1
368,0
369,1
370,0
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,0
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,0
398,0
399,1
400,0
401,0
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,0
410,0
411,0
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,0
425,1
426,1
427,1
428,1
429,1
430,1
431,0
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,0
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,0
451,0
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,0
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,0
472,1
473,1
474,1
475,0
476,1
477,1
478,1
479,0
480,1
481,0
482,1
483,1
484,1
485,1
486,1
487,0
488,0
489,1
490,1
491,1
492,1
493,1
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,0
502,1
503,0
504,1
505,1
506,0
507,1
508,1
509,1
510,1
511,1
512,1
513,0
514,1
515,1
516,0
517,1
518,1
519,0
520,1
521,1
522,1
523,0
524,1
525,0
526,1
527,1
528,1
529,1
530,0
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,0
541,1
542,1
543,1
544,1
545,1
546,1
547,0
548,1
549,1
550,1
551,0
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,0
561,1
562,0
563,0
564,1
565,0
566,1
567,1
568,0
569,0
570,1
571,1
572,1
573,1
574,0
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,0
584,0
585,0
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,1
597,1
598,1
599,1
600,1
601,1
